step,loss
50,0.6090414810180664
100,0.5214230346679688
150,0.464321403503418
200,0.4568255615234375
250,0.466256103515625
300,0.4338066101074219
350,0.42336463928222656
400,0.4226288986206055
450,0.39251602172851563
500,0.3931702423095703
550,0.3716142272949219
600,0.3580314636230469
650,0.35893131256103517
700,0.3419192886352539
750,0.33445499420166014
800,0.33964057922363283
850,0.3211277770996094
900,0.30657812118530275
950,0.3174255752563477
1000,0.31633768081665037
1050,0.28746809005737306
1100,0.2924921989440918
1150,0.28334728240966794
1200,0.25300811767578124
1250,0.2594414138793945
1300,0.1678745651245117
1350,0.15293166160583496
1400,0.15535385131835938
1450,0.15491415023803712
1500,0.13876805305480958
1550,0.1516639518737793
1600,0.14091288566589355
1650,0.13701006889343262
1700,0.13176814079284668
1750,0.13782091140747071
1800,0.12271286964416504
1850,0.1262223529815674
1900,0.12714111328125
1950,0.13710461616516112
2000,0.12196555137634277
2050,0.11694814682006836
2100,0.12459910392761231
2150,0.11381497383117675
2200,0.11249269485473633
2250,0.11364672660827636
2300,0.10915632247924804
2350,0.11909901618957519
2400,0.12157060623168946
2450,0.11297026634216309
2500,0.11783834457397462
