step,loss
50,0.6317328643798829
100,0.5254615783691406
150,0.4900540924072266
200,0.45363067626953124
250,0.42885929107666015
300,0.4261521911621094
350,0.4099515151977539
400,0.4278240203857422
450,0.41333248138427736
500,0.37715801239013674
550,0.3869282531738281
600,0.3592298126220703
650,0.35924587249755857
700,0.33407981872558595
750,0.3510675811767578
800,0.3354496002197266
850,0.3328284454345703
900,0.30421899795532226
950,0.31185014724731447
1000,0.2923609161376953
1050,0.2944951629638672
1100,0.2717789649963379
1150,0.27082977294921873
1200,0.2582246208190918
1250,0.2726160430908203
1300,0.17034492492675782
1350,0.15376827239990234
1400,0.1678632926940918
1450,0.13964814186096192
1500,0.137207555770874
1550,0.15178695678710938
1600,0.14154821395874023
1650,0.13395601272583008
1700,0.13470033645629884
1750,0.1314982604980469
1800,0.1252891254425049
1850,0.12542612075805665
1900,0.1286638355255127
1950,0.1315847396850586
2000,0.12389150619506836
2050,0.11178177833557129
2100,0.12025283813476563
2150,0.10604751586914063
2200,0.11357402801513672
2250,0.11495107650756836
2300,0.11460686683654785
2350,0.1120190143585205
2400,0.10668702125549316
2450,0.10402129173278808
2500,0.10624269485473632
