step,loss
50,1.3169479370117188
100,0.8287214660644531
150,0.5773603439331054
200,0.489206428527832
250,0.4362544631958008
300,0.4078200912475586
350,0.3935420608520508
400,0.3664533615112305
450,0.3467089080810547
500,0.33872314453125
550,0.3241147613525391
600,0.2949666404724121
650,0.2989138984680176
700,0.26955921173095704
750,0.26784786224365237
800,0.25698997497558596
850,0.24940166473388672
900,0.25573373794555665
950,0.24850751876831054
1000,0.23159957885742188
1050,0.23199619293212892
1100,0.22210845947265626
1150,0.2179737091064453
1200,0.2135743522644043
1250,0.20957569122314454
1300,0.12022048950195313
1350,0.10694310188293457
1400,0.10401069641113281
1450,0.100444974899292
1500,0.10587473869323731
1550,0.09840310096740723
1600,0.09375335693359375
1650,0.08667560577392579
1700,0.087664794921875
1750,0.09009885787963867
1800,0.07837049007415771
1850,0.07757698059082031
1900,0.07498162269592284
1950,0.08176551818847656
2000,0.07027513504028321
2050,0.06839800834655761
2100,0.07630270957946778
2150,0.061464972496032715
2200,0.06727576732635498
2250,0.061909418106079105
2300,0.06252679347991943
2350,0.06726579189300537
2400,0.059118332862854006
2450,0.05877046585083008
2500,0.06314621448516845
