step,loss
50,0.659155502319336
100,0.571846923828125
150,0.5067113876342774
200,0.4725739288330078
250,0.43691268920898435
300,0.4570766830444336
350,0.41893165588378906
400,0.43235973358154295
450,0.4417927932739258
500,0.4152670669555664
550,0.4037610626220703
600,0.3700740051269531
650,0.3760968017578125
700,0.3952357864379883
750,0.38915534973144533
800,0.3656525802612305
850,0.37964656829833987
900,0.3546924209594727
950,0.34402587890625
1000,0.34478431701660156
1050,0.3332862091064453
1100,0.3380132675170898
1150,0.3274564743041992
1200,0.30441038131713866
1250,0.3104365158081055
1300,0.22582477569580078
1350,0.2151881980895996
1400,0.21644237518310547
1450,0.20138607025146485
1500,0.2095847511291504
1550,0.21263137817382813
1600,0.21261215209960938
1650,0.21823406219482422
1700,0.21300697326660156
1750,0.19860269546508788
1800,0.20377723693847657
1850,0.20869503021240235
1900,0.2079719352722168
1950,0.20414312362670897
2000,0.20413091659545898
2050,0.2123383903503418
2100,0.2053976058959961
2150,0.20700172424316407
2200,0.21607030868530275
2250,0.2052586555480957
2300,0.20634531021118163
2350,0.20154136657714844
2400,0.19848115921020507
2450,0.2016619873046875
2500,0.2069813346862793
2550,0.10047982215881347
2600,0.09757025718688965
2650,0.10477189064025878
2700,0.09501405715942383
2750,0.09912228584289551
2800,0.09758003234863281
2850,0.10712470054626465
2900,0.10151320457458496
2950,0.10006734848022461
3000,0.09061959266662598
3050,0.10735072135925293
3100,0.0964620590209961
3150,0.09602043151855469
3200,0.10243538856506347
3250,0.0956378173828125
3300,0.10324199676513672
3350,0.0957589054107666
3400,0.10102579116821289
3450,0.09668703079223633
3500,0.09357876777648926
3550,0.09953860282897949
3600,0.09171557426452637
3650,0.09203760147094726
3700,0.08225625038146972
3750,0.09488910675048828
3800,0.03954511404037476
3850,0.04236502170562744
3900,0.04144168853759766
3950,0.04419799327850342
4000,0.0391401219367981
4050,0.042208771705627444
4100,0.03709819793701172
4150,0.0405361270904541
4200,0.042810468673706054
4250,0.03902700424194336
4300,0.041105670928955076
4350,0.03837477445602417
4400,0.041776442527771
4450,0.03771280527114868
4500,0.03369256496429443
4550,0.035763640403747556
4600,0.03774095773696899
4650,0.035291099548339845
4700,0.04185942649841309
4750,0.033757505416870115
4800,0.036642265319824216
4850,0.03179624319076538
4900,0.032349817752838135
4950,0.031518902778625485
5000,0.028755712509155273
5050,0.01264860987663269
5100,0.011978079080581665
5150,0.01018837571144104
5200,0.012618254423141479
5250,0.011291046142578125
5300,0.011367706060409545
5350,0.011143542528152466
5400,0.010358303785324097
5450,0.010616780519485473
5500,0.008492903113365173
5550,0.013584606647491455
5600,0.010201568603515626
5650,0.009633046984672546
5700,0.009339858889579772
5750,0.00836751401424408
5800,0.0062101978063583375
5850,0.00823632001876831
5900,0.008190427422523499
5950,0.008606086373329163
6000,0.007080751061439514
6050,0.006576865315437317
6100,0.00734646201133728
6150,0.007002944946289062
6200,0.00621618926525116
6250,0.007446315288543701
6300,0.0014097462594509125
6350,0.0015277990698814392
6400,0.001965811997652054
6450,0.0016722823679447174
6500,0.00217388391494751
6550,0.0014087478816509247
6600,0.0016050660610198975
6650,0.0012780892848968505
6700,0.001554259955883026
6750,0.0009908726066350938
6800,0.001162167564034462
6850,0.0011648423224687576
6900,0.0009326103329658508
6950,0.0014184312522411346
7000,0.0015829969942569733
7050,0.0011412815004587173
7100,0.0014259664714336396
7150,0.0011395604163408279
7200,0.001452590227127075
7250,0.0019422933459281922
7300,0.0010758688300848008
7350,0.0011466433852910995
7400,0.0011595793068408966
7450,0.0011307688057422638
7500,0.001336362361907959
